(-15.08889668642394, 3.948291759929018)
(-15.486653963472573, 4.341088333940119)
(-15.409086789277868, 4.578750559561786)
(-14.856195163839807, 4.661278436794047)
(-15.25395244088845, 5.0540750108051435)
(-15.17638526669374, 5.291737236426815)
(-14.623493641255685, 5.374265113659061)
(-15.021250918304323, 5.7670616876701555)
(-14.943683744109613, 6.004723913291832)
(-14.390792118671552, 6.087251790524095)
(-15.263873846963547, 6.635182712924597)
(-16.039545588910634, 4.258560456707858)
(-17.029533545694846, 4.581668464695567)
(-16.230898755811374, 3.9798524858550444)
(-16.832714734651905, 3.1812176959715712)
(-17.532940119013908, 3.082808290450097)
(-18.730892303839113, 3.9855322587109)
(-18.82930170936058, 4.685757643072894)
(-19.431117688201116, 3.8871228531894197)
(-17.43453071349244, 2.3825829060880936)
(-18.036346692332973, 1.5839481162046272)
(-17.2377119024495, 0.9821321373640957)
(-15.432263965927907, 3.37803650701451)
(-14.600580658046963, 2.7513166215826073)
(-15.062913532156688, 1.864610180015027)
(-15.986313008092202, 2.3460749733754294)
(-15.297482441455752, 1.621152597898372)
(-17.472249567886948, -0.44533910201097865)
(-16.783419001250497, -1.1702614774880462)
(-14.608651874819303, 0.8962302224213068)
(-13.89131662786206, 0.14130964191210144)
(-14.518036513293964, -0.6903736659688408)
(-13.689734439293417, -0.13009188489221782)
(-12.008889096063552, -2.614998106893856)
(-11.180587022063001, -2.0547163258172345)
(-12.86143236529287, 0.4301898961844088)
(-11.998854103544549, 1.0136568462019802)
(-11.3100235369081, 0.2887344707249157)
(-12.034945912385163, -0.4000960959115342)
(-11.346115345748714, -1.1250184713885896)
(-10.62119297027165, -0.436187904752152)
(-9.822558180388182, -1.0380038835926813)
(-11.628006116909777, -3.4339082532430867)
(-10.829371327026308, -4.0357242320836155)
(-10.227555348185778, -3.2370894422001464)
(-9.428920558302307, -3.838905421040679)
(-10.030736537142838, -4.63754021092415)
(-10.73096192150484, -4.735949616445615)
(-11.928914106330042, -3.8332256481848184)
(-12.027323511851511, -3.133000263822816)
(-12.629139490692042, -3.931635053706288)
(-10.632552515983372, -5.436175000807611)
(-11.234368494823903, -6.234809790691084)
(-10.435733704940438, -6.836625769531615)
(-9.833917726099905, -6.037990979648148)
(-8.947211284532326, -6.500323853757871)
(-10.334209906861497, -9.160443178460616)
(-9.44750346529392, -9.622776052570341)
(-8.985170591184197, -8.736069611002758)
(-6.325051266481455, -10.123068233331939)
(-5.862718392371731, -9.236361791764356)
(-6.749424833939304, -8.774028917654633)
(-6.439156137160468, -7.823380015167936)
(-3.5872094297003763, -8.754186105504447)
(-3.276940732921539, -7.803537203017749)
(-4.227589635408236, -7.493268506238913)
(-3.296783545071727, -4.641321798778819)
(-4.247432447558425, -4.331053101999981)
(-5.178238537894936, -7.182999809460074)
(-6.128887440381635, -6.872731112681235)
(-5.805779432393925, -5.8827431558970265)
(-7.636131275506887, -8.311696043544908)
(-8.52283771707447, -7.849363169435181)
(-8.060504842964743, -6.9626567278676)
(-7.137105367029231, -7.444121521228012)
(-7.82593593366568, -6.719199145750949)
(-5.651168807234488, -4.652707445841602)
(-6.339999373870939, -3.927785070364536)
(-8.514766500302128, -5.994276770273886)
(-9.23210174725937, -5.239356189764685)
(-8.63028576841884, -4.44072139988121)
(-7.831650978535371, -5.042537378721742)
(-7.229834999694836, -4.243902588838276)
(-9.625739369345245, -2.4384546523166817)
(-9.023923390504713, -1.6398198624332128)
(-8.192240082623773, -2.266539747865112)
(-9.896270594794586, 0.25264266188430123)
(-9.171348219317524, 0.9414732285207489)
(-8.482517652681073, 0.21655085304368674)
(-9.207440028158137, -0.47227971359276094)
(-8.518609461521688, -1.1972020890698263)
(-7.793687086044625, -0.5083715224333717)
(-5.364734198396749, -2.3387233655463393)
(-7.068764710567562, 0.18045904420307232)
(-6.343842335090499, 0.8692896108395227)
(-5.65501176845405, 0.14436723536245785)
(-6.379934143931114, -0.5444633312739926)
(-5.6911035772946645, -1.2693857067510552)
(-3.516336450863474, 0.7971059931582912)
(-2.827505884227025, 0.07218361768122893)
(-5.0022730106582145, -1.9943080822281178)
(-4.313442444021765, -2.7192304577051827)
(-3.588520068544703, -2.030399891068732)
(-2.881643597487947, -2.0484457954890396)
(-1.8483977475332731, -3.1358293587046346)
(-1.8664436519535805, -3.8427058297613907)
(-1.141521276476517, -3.1538752631249425)
(-2.8635976930676392, -1.3415693244322837)
(-2.138675317590576, -0.6527387577958345)
(-1.449844750954127, -1.3776611332728979)
(0.0, 0.0)
